epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.97317,2.36942,4.47154,2.05826,0.00551,0.56736,0.0676,0.0178,1.97398,3.78118,1.62447,0.000234281,0.000234281,0.000234281
2,3.51906,1.83843,3.11847,1.59109,0.2684,0.48859,0.29843,0.10614,1.99848,2.29313,1.68236,0.000467606,0.000467606,0.000467606
3,5.07451,1.69866,2.52179,1.51944,0.44078,0.64589,0.51534,0.17447,2.07255,1.92679,1.76584,0.000696218,0.000696218,0.000696218
4,6.64723,1.65621,2.26302,1.47828,0.51505,0.77388,0.60092,0.26188,1.82879,1.6908,1.56584,0.000692794,0.000692794,0.000692794
5,8.18277,1.57353,2.10949,1.42806,0.46412,0.78713,0.60822,0.30834,1.66505,1.58541,1.52268,0.000685726,0.000685726,0.000685726
6,9.66806,1.5408,1.9876,1.42778,0.51057,0.83218,0.65145,0.32281,1.62674,1.48529,1.46254,0.000678657,0.000678657,0.000678657
7,11.1696,1.54243,1.89453,1.41925,0.48813,0.85171,0.65141,0.29538,1.7338,1.49351,1.51879,0.000671588,0.000671588,0.000671588
8,12.6923,1.45508,1.81026,1.38356,0.54033,0.92551,0.66349,0.32503,1.7222,1.39937,1.48862,0.00066452,0.00066452,0.00066452
9,14.2187,1.4716,1.76656,1.38508,0.53264,0.89267,0.64142,0.30837,1.7469,1.40046,1.56044,0.000657451,0.000657451,0.000657451
10,15.7495,1.46412,1.72973,1.37389,0.51909,0.85389,0.6246,0.33617,1.5832,1.33397,1.36235,0.000650383,0.000650383,0.000650383
11,17.2608,1.44528,1.66661,1.35719,0.49833,0.90741,0.68002,0.36118,1.57594,1.31354,1.38862,0.000643314,0.000643314,0.000643314
12,18.7652,1.39001,1.59041,1.32634,0.5314,0.92075,0.66935,0.30912,1.8363,1.33142,1.54721,0.000636245,0.000636245,0.000636245
13,20.2516,1.39126,1.56184,1.32901,0.52091,0.92398,0.63357,0.30934,1.70231,1.30844,1.45387,0.000629177,0.000629177,0.000629177
14,21.7589,1.38504,1.55312,1.31608,0.55298,0.95098,0.6536,0.33339,1.62812,1.23126,1.43128,0.000622108,0.000622108,0.000622108
15,23.3531,1.4083,1.53439,1.33692,0.53671,0.91543,0.62225,0.30491,1.80138,1.30002,1.50199,0.00061504,0.00061504,0.00061504
16,24.8652,1.39707,1.52092,1.32183,0.54409,0.94903,0.66909,0.35778,1.67577,1.26387,1.40526,0.000607971,0.000607971,0.000607971
17,26.3893,1.37171,1.46055,1.28846,0.5346,0.93746,0.65258,0.36866,1.5228,1.20031,1.35047,0.000600902,0.000600902,0.000600902
18,27.907,1.34202,1.42826,1.30072,0.54165,0.94657,0.67487,0.38022,1.59532,1.17313,1.38673,0.000593834,0.000593834,0.000593834
19,29.425,1.33924,1.40138,1.29182,0.56666,0.94289,0.66782,0.33575,1.7985,1.18905,1.49567,0.000586765,0.000586765,0.000586765
20,30.9173,1.33445,1.36432,1.28179,0.56717,0.94582,0.66905,0.36255,1.66433,1.16359,1.43411,0.000579697,0.000579697,0.000579697
21,32.4208,1.34208,1.3708,1.29059,0.58954,0.93254,0.66166,0.36764,1.61448,1.17797,1.40072,0.000572628,0.000572628,0.000572628
22,33.9519,1.33431,1.35246,1.27462,0.56902,0.92745,0.66253,0.39748,1.4768,1.14021,1.30992,0.000565559,0.000565559,0.000565559
